"features"	"richness"	"shannon"	"pielou"	"simpson"	"inverse"	"fisher"	"unique"	"hillfunc"
"R.cavernosa.SWE.1"	649	649	6.90869393394371	0.985803175666192	0.99898375687304	984.016495138469	253.045971272411	120	428153.397236784
"R.cavernosa.SWE.2"	568	568	6.77310165604986	0.979313401901116	0.998833140938238	857.001528950695	220.711665189103	163	347176.565318429
"R.cavernosa.SWE.3"	698	698	6.97658423261241	0.982675018614485	0.999050648451904	1053.35057598582	270.009949528655	126	526841.863082131
"R.canaliculata.GOT.1"	1034	1034	7.28556363141006	0.983824516744055	0.999304251939067	1437.30188577124	366.001461882077	221	936203.169795635
"R.canaliculata.GOT.2"	1082	1082	7.29313638525427	0.983684932385093	0.999309679422643	1448.6023346261	367.462058431343	228	949278.946802087
"R.canaliculata.GOT.3"	1064	1064	7.28404052860006	0.983482268146585	0.999303557019517	1435.86772790247	363.888492621565	225	932637.95426844
"R.bifurca.GOT.1"	1077	1077	7.39192206837295	0.994682408948666	0.999374038408016	1597.54210610553	408.280883922644	11	1116057.72383761
"R.bifurca.GOT.2"	1208	1208	7.42402009297493	0.994520684755217	0.999394568561427	1651.71468854723	418.877404533438	12	1191575.85740293
"R.bifurca.GOT.3"	1143	1143	7.38314638238724	0.994070212697361	0.999368855305025	1584.42272898893	402.491395905847	8	1095578.72406071
"R.ciliifera.GOT.1"	1004	1004	7.36467438662432	0.992494448250794	0.999356179953932	1553.22905229116	399.811766856441	25	1062905.23097332
"R.ciliifera.GOT.2"	1074	1074	7.40532784636828	0.992418010923974	0.999382458392456	1619.32408729066	414.776756888854	28	1151772.99654281
"R.ciliifera.GOT.3"	1012	1012	7.35261573385223	0.992425213007627	0.999348682243609	1535.34889873168	394.03310269844	22	1031834.94983879
"R.subbifurca.OE1.1"	1049	1049	7.41872468363637	0.992713602269575	0.999389804509178	1638.81905887848	421.583134689431	7	1181930.08045109
"R.subbifurca.OE1.2"	1130	1130	7.44486847902875	0.993034702236627	0.999406490929495	1684.8942159377	430.731469521917	11	1245149.45943056
"R.subbifurca.OE1.3"	1167	1167	7.46399744796141	0.992197381924385	0.999417700108814	1717.32815879968	439.314427172516	17	1305583.09417143
"R.sorocarpa.SWE.1"	779	779	7.09487670773443	0.985993261849667	0.999156471022918	1185.49572945286	304.304028827628	88	656539.512265798
"R.sorocarpa.SWE.2"	892	892	7.16962012062886	0.986084422960504	0.999218069685525	1278.88634253942	326.527828280723	115	751581.037535459
"R.sorocarpa.SWE.3"	923	923	7.23726946484736	0.986331133842027	0.999268955844589	1367.90642890507	350.782884700138	116	855755.873301221
"R.beyrichiana.OEL.1"	1011	1011	7.36079836362128	0.99391067744164	0.999354373836255	1548.88394577863	397.757316539	12	1055006.74224814
"R.beyrichiana.OEL.2"	923	923	7.31316420600817	0.993585212145275	0.999322357428411	1475.70421624286	380.689639405705	9	962292.473334736
"R.beyrichiana.OEL.3"	955	955	7.33068179312897	0.993494166987583	0.999334812177552	1503.33479695929	386.405559246182	15	989859.366335449
"R.subbifurca.OE2.1"	992	992	7.36854500249363	0.991507668006766	0.999358367041608	1558.52343138054	400.646209265313	16	1071102.06509145
"R.subbifurca.OE2.2"	1025	1025	7.37213621319243	0.992326399917868	0.999360317556905	1563.27567028698	401.973819488485	11	1077737.2332792
"R.subbifurca.OE2.3"	1220	1220	7.47682989289224	0.992899551066265	0.999424835550394	1738.63318688123	443.768830106456	9	1331138.01517986
"R.ciliifera.HAL.1"	1054	1054	7.35693989913456	0.992431822674291	0.999351560663953	1542.16430806881	393.926414755686	10	1046962.3304425
"R.ciliifera.HAL.2"	1215	1215	7.45053812230996	0.992616178485292	0.999409713359045	1694.09220981483	431.632603965757	17	1253989.00807511
"R.ciliifera.HAL.3"	1157	1157	7.41486966046494	0.992697056320444	0.999388458819815	1635.21285630717	416.941687276515	14	1168353.65789007
"R.gougetiana.HAL.1"	1394	1394	7.4943576781149	0.987842167335716	0.999435197787427	1770.53130766738	444.85077217672	201	1362098.48436725
"R.gougetiana.HAL.2"	1439	1439	7.53628052570185	0.988986337116298	0.9994586250055	1847.14848332414	465.191869211822	182	1475945.70679775
"R.gougetiana.HAL.3"	1305	1305	7.47911212018472	0.988205788316031	0.999426193186114	1742.74681966156	441.342678436647	175	1316034.22259686
"R.huebeneriana.GOT.1"	706	706	6.99073345594668	0.98364970265309	0.999064427095171	1068.86378906323	274.988039524434	113	534237.454470336
"R.huebeneriana.GOT.2"	611	611	6.9352274598022	0.983317303139462	0.999009431926659	1009.5217349649	262.356337185768	103	477624.091985453
"R.huebeneriana.GOT.3"	598	598	6.88341214437423	0.983041491301904	0.998957906380517	959.606681495749	248.127224616137	97	431057.422447884
"A.gracilis.SWE.1"	721	721	7.02032768173972	0.984408346081098	0.999092752888468	1102.23552909579	282.620163902025	170	523805.091593236
"A.gracilis.SWE.2"	798	798	7.00864950971913	0.98279757896361	0.999081400517163	1088.61371978127	276.731743193544	211	511276.750793208
"A.gracilis.SWE.3"	495	495	6.79499175503739	0.984830317594301	0.998861417965346	878.285419551805	228.332606343438	115	317806.753965567
"R.gothica.GOT.1"	1327	1327	7.47938098003604	0.991840999290032	0.999427098480007	1745.50069270688	440.691245440958	89	1335965.62694151
"R.gothica.GOT.2"	1162	1162	7.43949204347535	0.993203525105717	0.999403464103038	1676.34505332074	426.990589396439	43	1236236.79469742
"R.gothica.GOT.3"	1203	1203	7.45442889273631	0.993124798977089	0.999412383095921	1701.789027952	433.347957927742	44	1270414.75254962
"M.fragrans.GOT.1"	494	494	6.73318922440566	0.986714734767451	0.998786970846211	824.382494746087	214.152014800641	30	333437.226394139
"M.fragrans.GOT.2"	509	509	6.75840514342033	0.987504941633125	0.99881701045217	845.316006244274	219.377567478384	30	343733.327429576
"M.fragrans.GOT.3"	514	514	6.78211552342028	0.986907020310404	0.998846021518442	866.567285249652	224.662846447257	24	351383.658306239
"R.hemisphaerica.GOT.1"	745	745	7.01317113782574	0.984965322082842	0.999086978513231	1095.2644756909	279.433776317586	203	498455.450295534
"R.hemisphaerica.GOT.2"	797	797	7.06049245772744	0.984482441741663	0.999129079989647	1148.21107347714	292.233131554413	209	559612.88941828
"R.hemisphaerica.GOT.3"	819	819	7.07175530458375	0.984847213029885	0.999138461038672	1160.71361236979	296.003695543568	217	562556.72708214
"A.hyalina.GOT.1"	632	632	6.85702922568686	0.985725238869579	0.998932776406829	937.010769251444	240.144325482548	89	384781.824082925
"A.hyalina.GOT.2"	623	623	6.87416008084123	0.985733666535279	0.998949599284141	952.01762994053	244.924523430605	88	403407.228539328
"A.hyalina.GOT.3"	576	576	6.78401210135686	0.985810102142642	0.99885083723085	870.198745422174	223.592222022946	81	334162.776650526
