"Alkaloids"	"Amino acids and Peptides"	"Carbohydrates"	"Fatty acids"	"Polyketides"	"Shikimates and Phenylpropanoids"	"Terpenoids"
"R.cavernosa.SWE.1"	146	156	48	65	26	61	49
"R.cavernosa.SWE.2"	138	116	51	52	22	74	32
"R.cavernosa.SWE.3"	174	156	45	71	37	64	57
"R.canaliculata.GOT.1"	255	237	78	93	62	78	84
"R.canaliculata.GOT.2"	263	257	82	97	65	78	88
"R.canaliculata.GOT.3"	257	255	80	95	65	74	89
"R.bifurca.GOT.1"	271	312	57	99	54	50	97
"R.bifurca.GOT.2"	311	340	69	118	59	48	115
"R.bifurca.GOT.3"	293	324	66	104	56	53	104
"R.ciliifera.GOT.1"	266	284	48	110	52	55	78
"R.ciliifera.GOT.2"	281	305	51	107	54	60	96
"R.ciliifera.GOT.3"	260	304	53	90	52	53	83
"R.subbifurca.OE1.1"	287	279	64	99	48	58	79
"R.subbifurca.OE1.2"	305	297	63	104	54	69	89
"R.subbifurca.OE1.3"	324	324	64	115	48	72	93
"R.sorocarpa.SWE.1"	192	202	50	93	46	45	67
"R.sorocarpa.SWE.2"	214	244	49	92	51	53	76
"R.sorocarpa.SWE.3"	221	257	47	89	54	50	84
"R.beyrichiana.OEL.1"	269	282	49	98	44	54	91
"R.beyrichiana.OEL.2"	233	251	49	91	44	51	75
"R.beyrichiana.OEL.3"	246	266	49	93	42	55	77
"R.subbifurca.OE2.1"	274	267	60	92	46	62	69
"R.subbifurca.OE2.2"	292	266	64	96	48	56	72
"R.subbifurca.OE2.3"	331	330	71	118	59	66	96
"R.ciliifera.HAL.1"	256	293	55	105	60	46	84
"R.ciliifera.HAL.2"	320	333	62	121	67	52	103
"R.ciliifera.HAL.3"	298	310	61	118	63	52	89
"R.gougetiana.HAL.1"	350	361	83	125	86	78	118
"R.gougetiana.HAL.2"	384	390	84	117	81	72	115
"R.gougetiana.HAL.3"	342	343	71	105	78	71	107
"R.huebeneriana.GOT.1"	178	178	40	68	35	53	51
"R.huebeneriana.GOT.2"	148	157	32	57	29	47	45
"R.huebeneriana.GOT.3"	154	151	28	60	29	43	46
"A.gracilis.SWE.1"	191	177	52	66	32	51	52
"A.gracilis.SWE.2"	212	189	57	69	33	63	66
"A.gracilis.SWE.3"	131	119	32	50	26	32	28
"R.gothica.GOT.1"	360	384	60	116	60	56	116
"R.gothica.GOT.2"	309	331	53	113	55	45	104
"R.gothica.GOT.3"	314	353	52	116	57	47	110
"M.fragrans.GOT.1"	119	121	36	56	16	45	29
"M.fragrans.GOT.2"	121	132	33	55	14	47	31
"M.fragrans.GOT.3"	135	129	32	56	19	40	32
"R.hemisphaerica.GOT.1"	202	170	43	78	21	64	52
"R.hemisphaerica.GOT.2"	220	183	43	85	29	68	55
"R.hemisphaerica.GOT.3"	227	184	45	89	28	70	57
"A.hyalina.GOT.1"	146	150	47	66	30	47	52
"A.hyalina.GOT.2"	143	146	44	72	28	47	46
"A.hyalina.GOT.3"	135	132	38	65	28	43	42
